vehicle_id,created_at
208,2023-07-27 14:58:26
601,2023-04-18 09:36:57
993,2023-12-25 01:22:09
423,2023-07-26 04:54:19
685,2023-11-26 15:21:35
429,2023-10-30 23:42:42
817,2023-07-02 20:49:31
637,2023-02-28 12:00:48
335,2023-02-04 11:39:19
140,2023-02-28 18:16:23
269,2023-07-25 00:57:33
155,2023-06-06 15:26:47
1,2023-11-03 07:08:47
448,2023-05-10 12:48:36
421,2023-07-06 08:11:54
396,2023-01-21 13:28:54
417,2023-10-15 12:01:45
441,2023-07-05 20:32:49
229,2023-04-29 10:23:28
421,2023-08-24 07:51:27
396,2023-03-06 21:05:36
417,2023-09-13 01:30:50
441,2023-02-08 05:03:36
229,2023-02-27 08:53:03
301,2023-04-13 18:34:47
126,2023-08-23 20:21:39
964,2023-01-06 00:16:41
866,2023-01-19 23:29:43
75,2023-07-30 16:10:50
933,2023-06-23 10:16:41
828,2023-01-14 21:53:59
263,2023-01-27 12:35:29
621,2023-10-14 04:19:24
192,2023-10-29 13:47:42
520,2023-03-28 12:13:40
43,2023-06-13 03:38:00
145,2023-12-30 06:24:40
891,2023-04-15 21:46:21
425,2023-01-30 15:49:00
215,2023-09-13 13:34:05
451,2023-09-09 08:13:09
862,2023-06-20 09:34:41
984,2023-11-02 05:37:46
242,2023-12-02 17:23:49
268,2023-09-27 06:50:56
950,2023-06-30 08:29:48
789,2023-08-11 11:43:08
696,2023-08-25 14:20:49
759,2023-05-28 20:12:25
552,2023-11-28 19:30:09
91,2023-02-09 21:00:15
686,2023-11-23 07:26:39
375,2023-03-29 23:27:28
676,2023-06-10 16:18:56
134,2023-01-30 01:30:30
781,2023-03-24 04:21:57
986,2023-12-20 01:58:23
292,2023-10-28 05:10:41
618,2023-08-23 05:23:04
477,2023-08-08 13:09:42
23,2023-08-17 01:56:42
254,2023-05-01 08:50:01
341,2023-02-23 08:03:46
374,2023-11-22 03:14:16
37,2023-04-21 20:55:57
733,2023-09-28 08:36:21
282,2023-09-03 22:37:53
217,2023-05-19 11:48:44
512,2023-07-05 23:28:58
956,2023-04-17 10:18:44
990,2023-10-01 22:05:13
511,2023-08-10 02:11:27
645,2023-12-07 03:10:29
534,2023-08-12 23:45:51
938,2023-10-19 18:31:21
900,2023-02-07 13:32:42
201,2023-01-06 09:07:19
321,2023-12-25 09:51:12
723,2023-03-31 23:13:47
807,2023-09-24 12:10:28
437,2023-04-26 11:21:22
709,2023-09-03 14:45:16
849,2023-10-26 20:53:47
211,2023-02-28 23:34:53
297,2023-04-14 12:16:32
922,2023-07-07 20:17:27
514,2023-11-29 10:10:40
181,2023-03-01 03:54:04
21,2023-07-21 18:15:41
99,2023-03-10 00:29:12
893,2023-01-09 11:12:35
136,2023-10-22 11:01:52
753,2023-04-03 15:05:33
156,2023-04-07 06:22:28
677,2023-11-11 01:38:03
231,2023-01-01 03:49:58
48,2023-06-04 01:28:11
779,2023-07-13 11:14:21
603,2023-05-19 07:10:09
918,2023-08-04 15:48:39
627,2023-09-17 11:15:36
39,2023-06-22 09:52:25
614,2023-08-01 16:04:47
408,2023-06-29 08:09:32
853,2023-12-24 06:04:00
947,2023-07-31 14:07:17
9,2023-06-27 03:17:39
402,2023-11-12 09:11:35
576,2023-09-23 00:00:14
569,2023-03-10 16:03:54
843,2023-06-15 04:05:55
325,2023-07-24 00:09:24
595,2023-05-04 02:42:31
225,2023-03-12 02:26:01
265,2023-09-09 01:49:16
339,2023-04-03 23:45:49
904,2023-03-14 04:17:44
62,2023-06-13 01:15:49
132,2023-02-11 03:41:49
306,2023-06-12 18:33:44
764,2023-12-09 08:13:44
328,2023-12-29 22:16:35
754,2023-08-01 19:33:38
934,2023-10-10 00:57:02
88,2023-12-05 21:39:54
994,2023-06-12 18:12:04
22,2023-12-24 22:05:06
481,2023-10-31 04:02:56
183,2023-09-03 00:56:10
383,2023-06-03 12:02:19
881,2023-08-14 16:15:45
70,2023-07-21 05:21:42
199,2023-03-29 09:21:51
869,2023-07-14 06:50:51
450,2023-01-20 23:38:39
961,2023-02-28 19:43:55
968,2023-03-10 22:28:19
960,2023-08-10 20:29:40
290,2023-08-24 20:59:22
397,2023-04-05 14:31:36
898,2023-06-15 14:34:02
51,2023-01-26 16:55:14
256,2023-07-11 05:04:13
106,2023-07-05 15:34:03
93,2023-04-26 23:31:03
651,2023-11-19 19:42:56
617,2023-11-28 18:20:17
648,2023-12-03 08:34:54
66,2023-09-12 16:21:43
28,2023-01-25 13:34:37
232,2023-01-23 00:59:00
77,2023-08-05 14:59:16
178,2023-08-24 00:28:41
345,2023-03-02 04:58:55
937,2023-11-29 20:36:52
582,2023-07-19 06:17:44
247,2023-02-24 09:34:03
483,2023-09-05 13:08:41
690,2023-02-12 06:21:48
301,2023-12-28 04:48:19
126,2023-04-10 14:15:36
964,2023-08-25 19:27:26
866,2023-03-01 10:23:33
